Script Start,Round,Round Start, Round Finish,Source,Source User,Target Name,Target Name, Target Type,Is Default, Port Name
11-08-2015 10:00:45,1,10:00:48,10:00:54,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
11-08-2015 10:00:45,1,10:00:48,10:00:55,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS001
12-08-2015 04:41:01,1,04:41:04,04:41:07,HP06B66F (HP Officejet Pro 8600) (redirected 1),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 04:41:01,1,04:41:04,04:41:08,SHARP MX-C311 PS (redirected 1),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS001
12-08-2015 04:47:08,1,04:47:10,04:47:13,HP06B66F (HP Officejet Pro 8600) (redirected 1),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS005
12-08-2015 04:47:08,1,04:47:10,04:47:14,SHARP MX-C311 PS (redirected 1),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS003
12-08-2015 09:31:59,1,09:32:50,09:32:51,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,Yes,TS001
12-08-2015 09:31:59,1,09:32:50,09:32:52,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,2,09:32:53,09:32:54,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,2,09:32:53,09:32:55,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,3,09:32:56,09:32:57,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,3,09:32:56,09:32:58,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,4,09:33:00,09:33:00,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,4,09:33:00,09:33:01,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,5,09:33:02,09:33:04,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,5,09:33:02,09:33:05,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,6,09:33:06,09:33:07,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,6,09:33:06,09:33:08,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,7,09:33:09,09:33:10,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,7,09:33:09,09:33:12,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,8,09:33:13,09:33:14,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,8,09:33:13,09:33:15,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,9,09:33:16,09:33:17,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,9,09:33:16,09:33:18,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,10,09:33:19,09:33:20,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,10,09:33:19,09:33:21,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,11,09:33:22,09:33:23,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,11,09:33:22,09:33:24,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,12,09:33:25,09:33:26,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,12,09:33:25,09:33:27,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,13,09:33:28,09:33:29,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,13,09:33:28,09:33:30,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,14,09:33:31,09:33:32,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,14,09:33:31,09:33:33,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,15,09:33:34,09:33:35,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,15,09:33:34,09:33:36,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
12-08-2015 09:31:59,16,09:33:37,09:33:38,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS On MOB-ZACHARY,Existing - SHARP MX-C311 PS On MOB-ZACHARY,No,TS001
12-08-2015 09:31:59,16,09:33:37,09:33:38,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,Existing - HP06B66F (HP Officejet Pro 8600) On MOB-ZACHARY,No,TS004
